#time	prediction	observation
1906	-6.05477	-5.372736583431778
1907	-6.05464	-5.372736583431778
1908	-5.80523	-5.372736583431778
1909	-5.80581	-5.372736583431778
1910	-5.80574	-5.372736583431778
1911	-5.80497	-5.372736583431778
1912	-5.80718	-5.372736583431778
1913	-5.71019	-5.372736583431778
1914	-5.69659	-5.402491293654846
1915	-5.70243	-5.402491293654846
1916	-5.7084	-5.402491293654846
1917	-5.71435	-5.402491293654846
1918	-5.72217	-5.402491293654846
1919	-5.73197	-5.402491293654846
1920	-5.73593	-5.402491293654846
1921	-5.74099	-5.402491293654846
1922	-5.7448	-5.402491293654846
1923	-5.74811	-4.8341920209962135
1924	-5.75123	-4.8341920209962135
1925	-5.75726	-4.8341920209962135
1926	-5.76179	-4.8341920209962135
1928	-5.82041	-4.8341920209962135
1930	-5.78002	-4.8341920209962135
1931	-5.78321	-4.8341920209962135
1932	-5.78515	-4.8341920209962135
1933	-5.7836	-4.8341920209962135
1934	-5.7915	-4.8341920209962135
1935	-5.7912	-4.8341920209962135
1936	-5.77927	-4.8341920209962135
1937	-5.76108	-4.8341920209962135
1938	-5.77236	-4.8341920209962135
1939	-5.76885	-4.8341920209962135
1940	-5.77173	-4.8341920209962135
1941	-5.77164	-4.8341920209962135
1942	-5.7727	-4.8341920209962135
1943	-5.77008	-4.8341920209962135
1944	-5.76586	-4.8341920209962135
1945	-5.75959	-4.8341920209962135
1946	-5.75608	-4.8341920209962135
1947	-5.44802	-5.9222688203476075
1948	-5.44804	-5.9222688203476075
1949	-5.44899	-5.9222688203476075
1950	-5.441	-5.9222688203476075
1952	-5.47313	-5.9222688203476075
1954	-5.43734	-5.9222688203476075
1955	-5.43315	-5.9222688203476075
1956	-5.43408	-5.9222688203476075
1957	-5.43365	-4.963051887804721
1958	-5.42331	-4.963051887804721
1959	-5.41772	-4.963051887804721
1960	-5.40291	-4.963051887804721
1961	-5.38764	-4.963051887804721
1962	-5.37587	-4.963051887804721
1963	-5.36844	-4.963051887804721
1964	-5.36098	-4.963051887804721
1965	-5.34994	-4.963051887804721
1966	-5.34297	-4.963051887804721
1968	-5.33402	-4.963051887804721
1969	-5.32696	-4.963051887804721
1970	-5.32137	-4.963051887804721
1971	-5.75564	-4.963051887804721
1972	-5.75042	-4.963051887804721
1973	-5.74825	-4.963051887804721
1974	-5.744	-4.963051887804721
1977	-5.74549	-4.963051887804721
1978	-5.74535	-4.963051887804721
1979	-5.74669	-4.963051887804721
1980	-5.74515	-4.963051887804721
1981	-5.35117	-5.031615129015669
1982	-5.34775	-5.031615129015669
1983	-5.34327	-5.031615129015669
1984	-5.33752	-5.031615129015669
1985	-5.33152	-5.031615129015669
1986	-5.33036	-5.812563890226291
1987	-5.32672	-5.812563890226291
1988	-5.32622	-5.812563890226291
1989	-5.32613	-5.955891612553879
1990	-5.32737	-5.955891612553879
1991	-5.32679	-5.955891612553879
1992	-5.32988	-4.988049133940602
1993	-5.32869	-4.988049133940602
1994	-5.32803	-4.988049133940602
1995	-5.34384	-4.988049133940602
1996	-5.34044	-4.988049133940602
1997	-5.3392	-4.988049133940602
1998	-5.33721	-4.988049133940602
2000	-5.34416	-4.988049133940602
2002	-5.34204	-4.988049133940602
2003	-5.34411	-4.988049133940602
2004	-5.34783	-4.988049133940602
2005	-5.37403	-4.988049133940602
2006	-5.37463	-4.988049133940602
2007	-5.37649	-4.988049133940602
2008	-5.37168	-4.988049133940602
2009	-5.36777	-4.988049133940602
2010	-5.67867	-4.988049133940602
2011	-5.67395	-4.988049133940602
2012	-5.67082	-4.988049133940602
2013	-5.72888	-4.988049133940602
2014	-5.72819	-4.988049133940602
2015	-5.72721	-4.988049133940602
2184	-5.61412	-6.076093125979148
2185	-5.61722	-6.076093125979148
2186	-5.63409	-6.076093125979148
2187	-5.63288	-6.076093125979148
2188	-5.76505	-6.076093125979148
2189	-5.90253	-6.076093125979148
2190	-5.90064	-5.8910292831205195
2191	-6.0348	-5.8910292831205195
2192	-5.90059	-5.8910292831205195
2194	-5.89387	-5.8910292831205195
2195	-5.89019	-5.8910292831205195
2196	-5.88617	-5.8910292831205195
2197	-5.8817	-5.8910292831205195
2198	-5.87937	-5.8910292831205195
2199	-5.87569	-5.8910292831205195
2200	-5.87736	-5.8910292831205195
2201	-5.87751	-5.8910292831205195
2202	-5.8779	-5.8910292831205195
2203	-5.88165	-5.8910292831205195
2204	-5.88357	-5.8910292831205195
2205	-5.88836	-5.8910292831205195
2206	-5.89232	-5.8910292831205195
2207	-5.90042	-5.8910292831205195
2208	-5.86353	-5.8910292831205195
2209	-5.86551	-5.8910292831205195
2210	-5.8718	-5.8910292831205195
2211	-5.87024	-5.8910292831205195
2212	-5.92283	-5.8910292831205195
2213	-5.96392	-5.8910292831205195
2214	-5.85078	-5.9769946027500644
2215	-5.84703	-5.9769946027500644
2216	-5.84447	-5.9769946027500644
2217	-5.84129	-6.004891542255259
2218	-5.84082	-6.01186037980819
2219	-5.84092	-6.04216293762557
2220	-5.84175	-6.060106516869726
2221	-5.84248	-6.060106516869726
2222	-5.84301	-6.060106516869726
2223	-5.84259	-6.060106516869726
2224	-5.84101	-6.060106516869726
2225	-5.8413	-6.060106516869726
2226	-5.8392	-6.060106516869726
2227	-5.83822	-6.060106516869726
2228	-5.83739	-6.060106516869726
2229	-5.84239	-6.060106516869726
2230	-5.85372	-6.060106516869726
2231	-5.85962	-6.060106516869726
2232	-5.86072	-6.060106516869726
2233	-5.8581	-6.060106516869726
2234	-5.85681	-6.060106516869726
2235	-5.85358	-6.060106516869726
